id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
936438,The Botanist - the homey comfort,5054644,Denis,,Rosemont-La Petite-Patrie,45.56548363679228,-73.57702508483379,Entire home/apt,90,2,5,2015-05-29,0.19,2,363
3409946,1 bedroom in Rosemont (Mtl),17194092,Genevieve,,Rosemont-La Petite-Patrie,45.555497933508356,-73.58855486839497,Private room,35,3,3,2014-08-15,0.21,1,0
4032517,Chambre fermée avec balcon,15648682,Benoit,,Rosemont-La Petite-Patrie,45.5620417946996,-73.57411597356229,Private room,70,1,0,,,1,365
5179327,Joli 4 pièces près du Plateau,3363765,Jeanne,,Rosemont-La Petite-Patrie,45.54660238720926,-73.57264114341059,Entire home/apt,70,1,1,2015-06-07,0.25,1,222
3950449,"Beautifully decorated, modern condo",1152400,Cristina,,Rosemont-La Petite-Patrie,45.53093018109886,-73.60924299360846,Entire home/apt,96,2,24,2015-09-03,1.82,1,327
7161684,Sunny Rosemont,37506493,Annie,,Rosemont-La Petite-Patrie,45.54542636852946,-73.57273071517653,Entire home/apt,70,2,2,2015-09-12,2,1,363
3737811,Single bed with private balcony,15499853,Noria,,Rosemont-La Petite-Patrie,45.53911801401344,-73.59960929421075,Private room,35,1,18,2015-09-15,1.30,1,361
6817972,"Beautiful,equipped,convenient home",29984131,Adele,,Rosemont-La Petite-Patrie,45.54455196725853,-73.60228567664834,Entire home/apt,78,1,1,2015-06-19,0.28,1,85
7817373,"Roomy, confortable and sunny",17730966,Mike,,Rosemont-La Petite-Patrie,45.544663697997194,-73.58814071697321,Entire home/apt,181,1,1,2015-09-21,1,4,355
3655834,Condo quartier tranquille Rosemont ,18099448,Genevieve,,Rosemont-La Petite-Patrie,45.5498329439933,-73.56098513112885,Entire home/apt,74,4,2,2014-08-11,0.14,1,91
8489106,3 1/2 près du métroJean Talon,31289157,Frédéric,,Rosemont-La Petite-Patrie,45.537928782640606,-73.61179602643104,Entire home/apt,90,1,0,,,1,365
7145612,Chambre et balcon privés - Rosemont,22827656,Denyse,,Rosemont-La Petite-Patrie,45.55599071226159,-73.56152632236221,Private room,65,7,1,2015-08-03,0.49,1,365
723077,Private room in a nice apt :),3734491,Éric,,Rosemont-La Petite-Patrie,45.532538876506,-73.60540999279398,Private room,40,2,2,2015-09-23,0.63,1,341
5802092,Beautiful bedroom in Little Italy,19351776,Jean-Pascal,,Rosemont-La Petite-Patrie,45.533145448487666,-73.6060863903711,Private room,39,1,3,2015-05-17,0.61,3,274
6703184,Montréal mon amour,16545022,Gaetan,,Rosemont-La Petite-Patrie,45.55702069915308,-73.57754491703506,Entire home/apt,74,1,2,2015-06-19,0.52,3,139
